id,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
42494017,4,1125,4.0,4.0,1125.0,1125.0,4.0,1125.0
42495300,31,60,31.0,31.0,1125.0,1125.0,31.0,1125.0
42503052,1,5,1.0,1.0,1125.0,1125.0,1.0,1125.0
42518842,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
42531538,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42532796,32,1125,32.0,365.0,1125.0,1125.0,354.1,1125.0
42548617,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42555912,91,106,91.0,91.0,106.0,106.0,91.0,106.0
42559196,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42559665,2,8,2.0,2.0,8.0,8.0,2.0,8.0
42577611,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0
42581628,32,1125,32.0,365.0,1125.0,1125.0,353.4,1125.0
42581743,32,1125,32.0,366.0,1125.0,1125.0,353.4,1125.0
42588777,1,31,1.0,1.0,1125.0,1125.0,1.0,1125.0
42590098,1,1125,1.0,2.0,1125.0,1125.0,1.3,1125.0
42616622,32,1125,32.0,365.0,1125.0,1125.0,354.1,1125.0
42619320,5,1125,4.0,5.0,1125.0,1125.0,4.9,1125.0
42620250,1,120,2.0,3.0,120.0,120.0,2.3,120.0
42633209,31,90,31.0,31.0,1125.0,1125.0,31.0,1125.0
42645490,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42646134,1,7,1.0,1.0,7.0,7.0,1.0,7.0
42650292,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0
42683886,32,1125,32.0,366.0,1125.0,1125.0,352.6,1125.0
42691663,31,91,31.0,31.0,91.0,91.0,31.0,91.0
42694055,3,35,3.0,3.0,35.0,35.0,3.0,35.0
42706824,31,1125,31.0,31.0,1125.0,1125.0,31.0,1125.0
42738808,31,365,31.0,31.0,365.0,365.0,31.0,365.0
